0 0 nan 0 nan 0
0 0 nan 1 nan 0
0 0 nan 2 nan 0
0 0 nan 3 nan 0
0 0 nan 4 nan 1
0 0 nan 5 nan 1
0 0 nan 6 nan 1
0 0 nan 7 nan 0
0 0 nan 8 nan 1
0 0 nan 9 nan 1
0 0 nan 10 nan 1
0 0 nan 11 nan 1
0 0 nan 12 nan 0
0 0 nan 13 nan 0
0 0 nan 14 nan 0
0 0 nan 15 nan 1
0 0 nan 16 nan 1
0 0 nan 17 nan 1
0 0 nan 18 nan 1
0 0 nan 19 nan 1
0 0 nan 20 nan 1
0 0 nan 21 nan 1
0 0 nan 22 nan nan
0 0 nan 0 nan 0
0 0 nan 1 nan 0
0 0 nan 2 nan 0
0 0 nan 3 nan 0
0 0 nan 4 nan 1
0 0 nan 5 nan 1
0 0 nan 6 nan 1
0 0 nan 7 nan 0
0 0 nan 8 nan 1
0 0 nan 9 nan 1
0 0 nan 10 nan 1
0 0 nan 11 nan 1
0 0 nan 12 nan 0
0 0 nan 13 nan 0
0 0 nan 14 nan 0
0 0 nan 15 nan 1
0 0 nan 16 nan 1
0 0 nan 17 nan 1
0 0 nan 18 nan 1
0 0 nan 19 nan 1
0 0 nan 20 nan 1
0 0 nan 21 nan 1
0 0 nan 22 nan nan
0 0 nan 0 nan 0
0 0 nan 1 nan 0
0 0 nan 2 nan 0
0 0 nan 3 nan 0
0 0 nan 4 nan 1
0 0 nan 5 nan 1
0 0 nan 6 nan 1
0 0 nan 7 nan 0
0 0 nan 8 nan 1
0 0 nan 9 nan 1
0 0 nan 10 nan 1
0 0 nan 11 nan 1
0 0 nan 12 nan 0
0 0 nan 13 nan 0
0 0 nan 14 nan 0
0 0 nan 15 nan 1
0 0 nan 16 nan 1
0 0 nan 17 nan 1
0 0 nan 18 nan 1
0 0 nan 19 nan 1
0 0 nan 20 nan 1
0 0 nan 21 nan 1
0 0 nan 22 nan nan
0 0 nan 0 nan 0
0 0 nan 1 nan 0
0 0 nan 2 nan 0
0 0 nan 3 nan 0
0 0 nan 4 nan 1
0 0 nan 5 nan 1
0 0 nan 6 nan 1
0 0 nan 7 nan 0
0 0 nan 8 nan 1
0 0 nan 9 nan 1
0 0 nan 10 nan 1
0 0 nan 11 nan 1
0 0 nan 12 nan 0
0 0 nan 13 nan 0
0 0 nan 14 nan 0
0 0 nan 15 nan 1
0 0 nan 16 nan 1
0 0 nan 17 nan 1
