0	0	1	0	0	0	0	0	0	-10000.0000	0	0
1	0	1	1	0	0	0	0	0	-6.817589266	0	0
1	-2	1	2	0	0	2	0	2	-0.000000000001	0	0
1	2	1	3	0	0	2	0	2	0.000000	0	0
1	0	1	4	0	1	2	0	2	0.000000000001	0	0
2	0	1	5	0	2	0	0	0	41147.81261	0	0
2	-2	1	6	0	2	2	0	2	41148.66481	0	0
2	0	1	7	0	2	2	0	2	41148.66481	0	0
2	2	1	8	1	2	2	0	2	41148.66481	0	0
2	-2	1	9	0	2	2	2	0	41148.29958	0	0
2	0	1	10	0	2	2	2	0	41148.29958	0	0
2	2	1	11	0	2	2	2	0	41148.29958	0	0
2	0	1	12	0	2	0	2	2	41148.0561	0	0
2	-2	1	13	0	2	2	2	2	41148.23871	0	0
2	0	1	14	0	2	2	2	2	41148.23871	0	0
2	2	1	15	0	2	2	2	2	41148.23871	0	0
2	-4	1	16	0	2	4	2	2	41148.3848	0	0
2	-2	1	17	0	2	4	2	2	41148.3848	0	0
2	0	1	18	0	2	4	2	2	41148.3848	0	0
2	2	1	19	0	2	4	2	2	41148.3848	0	0
2	4	1	20	0	2	4	2	2	41148.3848	0	0
