0	-6	0	0	0	0	0	-10000.	0	0
0	-4	0	1	0	0	0	-9999.99999999	0	0
0	-2	0	2	0	0	0	-9999.99999998	0	0
0	0	0	3	0	0	0	-9999.99999997	0	0
0	2	0	4	0	0	0	-9999.99999996	0	0
0	4	0	5	0	0	0	-9999.99999995	0	0
0	6	0	6	0	0	0	-9999.99999994	0	0
1	0	1	7	1	0	0	-6.81758989	0	0
1	-2	1	8	0	2	2	8.e-8	0	0
1	2	1	9	0	2	2	1.e-7	0	0
1	0	1	10	0	2	2	2.2e-7	0	0
2	0	1	11	0	0	0	41147.81430572	0	0
2	0	1	12	0	2	0	41148.05779097	0	0
2	-2	1	13	0	2	2	41148.24039901	0	0
2	2	1	14	0	2	2	41148.24039903	0	0
2	0	1	15	0	2	2	41148.2404062	0	0
2	0	1	16	0	0	2	41148.30127185	0	0
2	-2	1	17	0	0	2	41148.30127953	0	0
2	2	1	18	0	0	2	41148.30127955	0	0
2	-4	1	19	0	2	4	41148.38649743	0	0
2	4	1	20	0	2	4	41148.38649747	0	0
2	-2	1	21	0	2	4	41148.38650256	0	0
2	2	1	22	0	2	4	41148.38650258	0	0
2	0	1	23	0	2	4	41148.38650428	0	0
2	-2	1	24	0	2	2	41148.66650548	0	0
2	2	1	25	0	2	2	41148.6665055	0	0
2	0	1	26	0	2	2	41148.66650652	0	0
3	0	1	27	0	0	0	48768.85756391	0	0
3	0	1	28	0	2	0	48768.92970721	0	0
3	-2	1	29	0	2	2	48768.9837949	0	0
3	2	1	30	0	2	2	48768.98379492	0	0
3	0	1	31	0	2	2	48768.98381912	0	0
3	0	1	32	0	0	2	48769.00183602	0	0
3	-2	1	33	0	0	2	48769.00186193	0	0
3	2	1	34	0	0	2	48769.00186195	0	0
3	0	1	35	0	2	2	48769.01265739	0	0
3	-2	1	36	0	2	2	48769.01266222	0	0
3	2	1	37	0	2	2	48769.01266224	0	0
3	-4	1	38	0	2	4	48769.02694987	0	0
3	4	1	39	0	2	4	48769.02694991	0	0
3	-2	1	40	0	2	4	48769.02706547	0	0
3	2	1	41	0	2	4	48769.02706549	0	0
3	-4	1	42	0	2	4	48769.02710543	0	0
3	4	1	43	0	2	4	48769.02710547	0	0
3	0	1	44	0	2	4	48769.02710558	0	0
3	-2	1	45	0	2	4	48769.02712274	0	0
3	2	1	46	0	2	4	48769.02712276	0	0
3	0	1	47	0	2	4	48769.0271285	0	0
3	0	1	48	0	0	4	48769.03068138	0	0
3	-2	1	49	0	0	4	48769.03072221	0	0
3	2	1	50	0	0	4	48769.03072223	0	0
3	-4	1	51	0	0	4	48769.03084005	0	0
3	4	1	52	0	0	4	48769.03084009	0	0
3	-6	1	53	0	2	6	48769.04101905	0	0
3	6	1	54	0	2	6	48769.04101911	0	0
3	-4	1	55	0	2	6	48769.04104737	0	0
3	4	1	56	0	2	6	48769.04104741	0	0
3	-2	1	57	0	2	6	48769.04106418	0	0
3	2	1	58	0	2	6	48769.0410642	0	0
3	0	1	59	0	2	6	48769.04106977	0	0
3	-2	1	60	0	2	2	48769.11007071	0	0
3	2	1	61	0	2	2	48769.11007073	0	0
3	0	1	62	0	2	2	48769.11007418	0	0
4	-8	0	63	0	0	0	54865.55318655	0	0
4	-6	0	64	0	0	0	54865.55318656	0	0
4	-4	0	65	0	0	0	54865.55318657	0	0
4	-2	0	66	0	0	0	54865.55318658	0	0
4	0	0	67	0	0	0	54865.55318659	0	0
4	2	0	68	0	0	0	54865.5531866	0	0
4	4	0	69	0	0	0	54865.55318661	0	0
4	6	0	70	0	0	0	54865.55318662	0	0
4	8	0	71	0	0	0	54865.55318663	0	0
