Molecule	Upper Manifold	M'	Sym'	#'	Lower Manifold	M"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
138BaF	A12	37	-	1	X	39	-	2	11613.4988252828	4250528.63795408	11704.1361137	90.6372884172	2.88423247863248	4250528.63795408	0	oP12(39)37,39	A12 v=0 37 36  1 F1f 37 - X v=0 39 40  1 F2f 39
138BaF	A12	5	-	33	X	3	-	38	11613.4988252828	877639.516338696	11704.1361137	90.6372884172	0.595529783037475	877639.516338696	0	oP12(39)5,3	A12 v=0 37 36  1 F1f  5 - X v=0 39 40  1 F2f  3
138BaF	A12	37	-	1	X	37	-	4	11613.4988252828	217975.827587389	11704.1361137	90.6372884172	0.147909357878589	217975.827587389	0	oP12(39)37,37	A12 v=0 37 36  1 F1f 37 - X v=0 39 40  1 F2f 37
138BaF	A12	35	-	3	X	37	-	4	11613.4988252828	4032552.81036669	11704.1361137	90.6372884172	2.73632312075389	4032552.81036669	0	oP12(39)35,37	A12 v=0 37 36  1 F1f 35 - X v=0 39 40  1 F2f 37
138BaF	A12	-37	-	1	X	-39	-	2	11613.4988252828	4250528.63795408	11704.1361137	90.6372884172	2.88423247863248	4250528.63795408	0	oP12(39)-37,-39	A12 v=0 37 36  1 F1f -37 - X v=0 39 40  1 F2f -39
138BaF	A12	-17	-	21	X	-17	-	24	11613.4988252828	1766751.44465568	11704.1361137	90.6372884172	1.19884426912119	1766751.44465568	0	oP12(39)-17,-17	A12 v=0 37 36  1 F1f -17 - X v=0 39 40  1 F2f -17
138BaF	A12	-1	-	37	X	-1	-	40	11613.4988252828	2179758.27587389	11704.1361137	90.6372884172	1.47909357878589	2179758.27587389	0	oP12(39)-1,-1	A12 v=0 37 36  1 F1f -1 - X v=0 39 40  1 F2f -1
138BaF	A12	37	-	1	X	35	-	6	11613.4988252828	5736.20598914181	11704.1361137	90.6372884172	0.00389235152312075	5736.20598914181	0	oP12(39)37,35	A12 v=0 37 36  1 F1f 37 - X v=0 39 40  1 F2f 35
138BaF	A12	35	-	3	X	35	-	6	11613.4988252828	424479.243196494	11704.1361137	90.6372884172	0.288034012710936	424479.243196494	0	oP12(39)35,35	A12 v=0 37 36  1 F1f 35 - X v=0 39 40  1 F2f 35
138BaF	A12	-15	-	23	X	-17	-	24	11613.4988252828	2168285.8638956	11704.1361137	90.6372884172	1.47130887573964	2168285.8638956	0	oP12(39)-15,-17	A12 v=0 37 36  1 F1f -15 - X v=0 39 40  1 F2f -17
138BaF	A12	-21	-	17	X	-23	-	18	11613.4988252828	2667335.78495094	11704.1361137	90.6372884172	1.80994345825115	2667335.78495094	0	oP12(39)-21,-23	A12 v=0 37 36  1 F1f -21 - X v=0 39 40  1 F2f -23
138BaF	A12	33	-	5	X	35	-	6	11613.4988252828	3820313.18876844	11704.1361137	90.6372884172	2.59230611439842	3820313.18876844	0	oP12(39)33,35	A12 v=0 37 36  1 F1f 33 - X v=0 39 40  1 F2f 35
138BaF	A12	25	-	13	X	27	-	14	11613.4988252828	3028716.76226687	11704.1361137	90.6372884172	2.05516160420776	3028716.76226687	0	oP12(39)25,27	A12 v=0 37 36  1 F1f 25 - X v=0 39 40  1 F2f 27
138BaF	A12	-17	-	21	X	-15	-	26	11613.4988252828	378589.595283359	11704.1361137	90.6372884172	0.25689520052597	378589.595283359	0	oP12(39)-17,-15	A12 v=0 37 36  1 F1f -17 - X v=0 39 40  1 F2f -15
138BaF	A12	35	-	3	X	33	-	8	11613.4988252828	17208.6179674254	11704.1361137	90.6372884172	0.0116770545693623	17208.6179674254	0	oP12(39)35,33	A12 v=0 37 36  1 F1f 35 - X v=0 39 40  1 F2f 33
138BaF	A12	23	-	15	X	21	-	20	11613.4988252828	206503.415609105	11704.1361137	90.6372884172	0.140124654832347	206503.415609105	0	oP12(39)23,21	A12 v=0 37 36  1 F1f 23 - X v=0 39 40  1 F2f 21
138BaF	A12	-37	-	1	X	-37	-	4	11613.4988252828	217975.827587389	11704.1361137	90.6372884172	0.147909357878589	217975.827587389	0	oP12(39)-37,-37	A12 v=0 37 36  1 F1f -37 - X v=0 39 40  1 F2f -37
138BaF	A12	-19	-	19	X	-17	-	24	11613.4988252828	315491.329402799	11704.1361137	90.6372884172	0.214079333771641	315491.329402799	0	oP12(39)-19,-17	A12 v=0 37 36  1 F1f -19 - X v=0 39 40  1 F2f -17
138BaF	A12	33	-	5	X	33	-	8	11613.4988252828	619510.246827315	11704.1361137	90.6372884172	0.420373964497041	619510.246827315	0	oP12(39)33,33	A12 v=0 37 36  1 F1f 33 - X v=0 39 40  1 F2f 33
138BaF	A12	-33	-	5	X	-31	-	10	11613.4988252828	34417.2359348508	11704.1361137	90.6372884172	0.0233541091387245	34417.2359348508	0	oP12(39)-33,-31	A12 v=0 37 36  1 F1f -33 - X v=0 39 40  1 F2f -31
138BaF	A12	-15	-	23	X	-15	-	26	11613.4988252828	1858530.74048194	11704.1361137	90.6372884172	1.26112189349112	1858530.74048194	0	oP12(39)-15,-15	A12 v=0 37 36  1 F1f -15 - X v=0 39 40  1 F2f -15
138BaF	A12	1	-	37	X	1	-	40	11613.4988252828	2179758.27587389	11704.1361137	90.6372884172	1.47909357878589	2179758.27587389	0	oP12(39)1,1	A12 v=0 37 36  1 F1f  1 - X v=0 39 40  1 F2f  1
138BaF	A12	31	-	7	X	33	-	8	11613.4988252828	3613809.77315934	11704.1361137	90.6372884172	2.45218145956607	3613809.77315934	0	oP12(39)31,33	A12 v=0 37 36  1 F1f 31 - X v=0 39 40  1 F2f 33
138BaF	A12	-23	-	15	X	-23	-	18	11613.4988252828	1422579.08530717	11704.1361137	90.6372884172	0.965303177733947	1422579.08530717	0	oP12(39)-23,-23	A12 v=0 37 36  1 F1f -23 - X v=0 39 40  1 F2f -23
138BaF	A12	-13	-	25	X	-15	-	26	11613.4988252828	2013408.30218877	11704.1361137	90.6372884172	1.36621538461538	2013408.30218877	0	oP12(39)-13,-15	A12 v=0 37 36  1 F1f -13 - X v=0 39 40  1 F2f -15
138BaF	A12	-15	-	23	X	-13	-	28	11613.4988252828	447424.067153061	11704.1361137	90.6372884172	0.303603418803419	447424.067153061	0	oP12(39)-15,-13	A12 v=0 37 36  1 F1f -15 - X v=0 39 40  1 F2f -13
138BaF	A12	-35	-	3	X	-37	-	4	11613.4988252828	4032552.81036669	11704.1361137	90.6372884172	2.73632312075389	4032552.81036669	0	oP12(39)-35,-37	A12 v=0 37 36  1 F1f -35 - X v=0 39 40  1 F2f -37
138BaF	A12	-13	-	25	X	-13	-	28	11613.4988252828	1938837.62432993	11704.1361137	90.6372884172	1.31561481481481	1938837.62432993	0	oP12(39)-13,-13	A12 v=0 37 36  1 F1f -13 - X v=0 39 40  1 F2f -13
138BaF	A12	33	-	5	X	31	-	10	11613.4988252828	34417.2359348508	11704.1361137	90.6372884172	0.0233541091387245	34417.2359348508	0	oP12(39)33,31	A12 v=0 37 36  1 F1f 33 - X v=0 39 40  1 F2f 31
138BaF	A12	3	-	35	X	1	-	40	11613.4988252828	980891.224143249	11704.1361137	90.6372884172	0.665592110453649	980891.224143249	0	oP12(39)3,1	A12 v=0 37 36  1 F1f  3 - X v=0 39 40  1 F2f  1
138BaF	A12	-17	-	21	X	-19	-	22	11613.4988252828	2328899.63159157	11704.1361137	90.6372884172	1.58029471838703	2328899.63159157	0	oP12(39)-17,-19	A12 v=0 37 36  1 F1f -17 - X v=0 39 40  1 F2f -19
138BaF	A12	31	-	7	X	31	-	10	11613.4988252828	803068.838479853	11704.1361137	90.6372884172	0.544929213236905	803068.838479853	0	oP12(39)31,31	A12 v=0 37 36  1 F1f 31 - X v=0 39 40  1 F2f 31
138BaF	A12	3	-	35	X	3	-	38	11613.4988252828	2168285.8638956	11704.1361137	90.6372884172	1.47130887573964	2168285.8638956	0	oP12(39)3,3	A12 v=0 37 36  1 F1f  3 - X v=0 39 40  1 F2f  3
138BaF	A12	-11	-	27	X	-13	-	28	11613.4988252828	1864266.94647109	11704.1361137	90.6372884172	1.26501424501424	1864266.94647109	0	oP12(39)-11,-13	A12 v=0 37 36  1 F1f -11 - X v=0 39 40  1 F2f -13
138BaF	A12	-13	-	25	X	-11	-	30	11613.4988252828	521994.745011905	11704.1361137	90.6372884172	0.354203988603989	521994.745011905	0	oP12(39)-13,-11	A12 v=0 37 36  1 F1f -13 - X v=0 39 40  1 F2f -11
138BaF	A12	29	-	9	X	31	-	10	11613.4988252828	3413042.56353937	11704.1361137	90.6372884172	2.31594915625685	3413042.56353937	0	oP12(39)29,31	A12 v=0 37 36  1 F1f 29 - X v=0 39 40  1 F2f 31
138BaF	A12	-37	-	1	X	-35	-	6	11613.4988252828	5736.20598914181	11704.1361137	90.6372884172	0.00389235152312075	5736.20598914181	0	oP12(39)-37,-35	A12 v=0 37 36  1 F1f -37 - X v=0 39 40  1 F2f -35
138BaF	A12	-11	-	27	X	-11	-	30	11613.4988252828	2007672.09619963	11704.1361137	90.6372884172	1.36232303309226	2007672.09619963	0	oP12(39)-11,-11	A12 v=0 37 36  1 F1f -11 - X v=0 39 40  1 F2f -11
138BaF	A12	27	-	11	X	25	-	16	11613.4988252828	120460.325771978	11704.1361137	90.6372884172	0.0817393819855358	120460.325771978	0	oP12(39)27,25	A12 v=0 37 36  1 F1f 27 - X v=0 39 40  1 F2f 25
138BaF	A12	-9	-	29	X	-11	-	30	11613.4988252828	1720861.79674254	11704.1361137	90.6372884172	1.16770545693623	1720861.79674254	0	oP12(39)-9,-11	A12 v=0 37 36  1 F1f -9 - X v=0 39 40  1 F2f -11
138BaF	A12	-19	-	19	X	-19	-	22	11613.4988252828	1663499.73685112	11704.1361137	90.6372884172	1.12878194170502	1663499.73685112	0	oP12(39)-19,-19	A12 v=0 37 36  1 F1f -19 - X v=0 39 40  1 F2f -19
138BaF	A12	-11	-	27	X	-9	-	32	11613.4988252828	602301.628859889	11704.1361137	90.6372884172	0.408696909927679	602301.628859889	0	oP12(39)-11,-9	A12 v=0 37 36  1 F1f -11 - X v=0 39 40  1 F2f -9
138BaF	A12	31	-	7	X	29	-	12	11613.4988252828	57362.059891418	11704.1361137	90.6372884172	0.0389235152312075	57362.059891418	0	oP12(39)31,29	A12 v=0 37 36  1 F1f 31 - X v=0 39 40  1 F2f 29
138BaF	A12	3	-	35	X	5	-	36	11613.4988252828	1325063.58349176	11704.1361137	90.6372884172	0.899133201840894	1325063.58349176	0	oP12(39)3,5	A12 v=0 37 36  1 F1f  3 - X v=0 39 40  1 F2f  5
138BaF	A12	-9	-	29	X	-9	-	32	11613.4988252828	2065034.15609105	11704.1361137	90.6372884172	1.40124654832347	2065034.15609105	0	oP12(39)-9,-9	A12 v=0 37 36  1 F1f -9 - X v=0 39 40  1 F2f -9
138BaF	A12	7	-	31	X	5	-	36	11613.4988252828	780124.014523286	11704.1361137	90.6372884172	0.529359807144422	780124.014523286	0	oP12(39)7,5	A12 v=0 37 36  1 F1f  7 - X v=0 39 40  1 F2f  5
138BaF	A12	-7	-	31	X	-9	-	32	11613.4988252828	1583192.85300314	11704.1361137	90.6372884172	1.07428902038133	1583192.85300314	0	oP12(39)-7,-9	A12 v=0 37 36  1 F1f -7 - X v=0 39 40  1 F2f -9
138BaF	A12	29	-	9	X	29	-	12	11613.4988252828	975155.018154107	11704.1361137	90.6372884172	0.661699758930528	975155.018154107	0	oP12(39)29,29	A12 v=0 37 36  1 F1f 29 - X v=0 39 40  1 F2f 29
138BaF	A12	25	-	13	X	25	-	16	11613.4988252828	1284910.14156776	11704.1361137	90.6372884172	0.871886741179049	1284910.14156776	0	oP12(39)25,25	A12 v=0 37 36  1 F1f 25 - X v=0 39 40  1 F2f 25
138BaF	A12	-21	-	17	X	-19	-	22	11613.4988252828	258129.269511381	11704.1361137	90.6372884172	0.175155818540434	258129.269511381	0	oP12(39)-21,-19	A12 v=0 37 36  1 F1f -21 - X v=0 39 40  1 F2f -19
138BaF	A12	-35	-	3	X	-35	-	6	11613.4988252828	424479.243196494	11704.1361137	90.6372884172	0.288034012710936	424479.243196494	0	oP12(39)-35,-35	A12 v=0 37 36  1 F1f -35 - X v=0 39 40  1 F2f -35
138BaF	A12	-9	-	29	X	-7	-	34	11613.4988252828	688344.718697017	11704.1361137	90.6372884172	0.46708218277449	688344.718697017	0	oP12(39)-9,-7	A12 v=0 37 36  1 F1f -9 - X v=0 39 40  1 F2f -7
138BaF	A12	-7	-	31	X	-7	-	34	11613.4988252828	2110923.80400418	11704.1361137	90.6372884172	1.43238536050844	2110923.80400418	0	oP12(39)-7,-7	A12 v=0 37 36  1 F1f -7 - X v=0 39 40  1 F2f -7
138BaF	A12	-5	-	33	X	-7	-	34	11613.4988252828	1451260.11525288	11704.1361137	90.6372884172	0.98476493534955	1451260.11525288	0	oP12(39)-5,-7	A12 v=0 37 36  1 F1f -5 - X v=0 39 40  1 F2f -7
138BaF	A12	27	-	11	X	29	-	12	11613.4988252828	3218011.55990855	11704.1361137	90.6372884172	2.18360920447074	3218011.55990855	0	oP12(39)27,29	A12 v=0 37 36  1 F1f 27 - X v=0 39 40  1 F2f 29
138BaF	A12	-19	-	19	X	-21	-	20	11613.4988252828	2495249.60527668	11704.1361137	90.6372884172	1.69317291255753	2495249.60527668	0	oP12(39)-19,-21	A12 v=0 37 36  1 F1f -19 - X v=0 39 40  1 F2f -21
138BaF	A12	21	-	17	X	21	-	20	11613.4988252828	1548775.61706829	11704.1361137	90.6372884172	1.0509349112426	1548775.61706829	0	oP12(39)21,21	A12 v=0 37 36  1 F1f 21 - X v=0 39 40  1 F2f 21
138BaF	A12	-7	-	31	X	-5	-	36	11613.4988252828	780124.014523286	11704.1361137	90.6372884172	0.529359807144422	780124.014523286	0	oP12(39)-7,-5	A12 v=0 37 36  1 F1f -7 - X v=0 39 40  1 F2f -5
138BaF	A12	-5	-	33	X	-5	-	36	11613.4988252828	2145341.03993903	11704.1361137	90.6372884172	1.45573946964716	2145341.03993903	0	oP12(39)-5,-5	A12 v=0 37 36  1 F1f -5 - X v=0 39 40  1 F2f -5
138BaF	A12	-3	-	35	X	-5	-	36	11613.4988252828	1325063.58349176	11704.1361137	90.6372884172	0.899133201840894	1325063.58349176	0	oP12(39)-3,-5	A12 v=0 37 36  1 F1f -3 - X v=0 39 40  1 F2f -5
138BaF	A12	-21	-	17	X	-21	-	20	11613.4988252828	1548775.61706829	11704.1361137	90.6372884172	1.0509349112426	1548775.61706829	0	oP12(39)-21,-21	A12 v=0 37 36  1 F1f -21 - X v=0 39 40  1 F2f -21
138BaF	A12	7	-	31	X	7	-	34	11613.4988252828	2110923.80400418	11704.1361137	90.6372884172	1.43238536050844	2110923.80400418	0	oP12(39)7,7	A12 v=0 37 36  1 F1f  7 - X v=0 39 40  1 F2f  7
138BaF	A12	29	-	9	X	27	-	14	11613.4988252828	86043.0898371271	11704.1361137	90.6372884172	0.0583852728468113	86043.0898371271	0	oP12(39)29,27	A12 v=0 37 36  1 F1f 29 - X v=0 39 40  1 F2f 27
138BaF	A12	-27	-	11	X	-25	-	16	11613.4988252828	120460.325771978	11704.1361137	90.6372884172	0.0817393819855358	120460.325771978	0	oP12(39)-27,-25	A12 v=0 37 36  1 F1f -27 - X v=0 39 40  1 F2f -25
138BaF	A12	-5	-	33	X	-3	-	38	11613.4988252828	877639.516338696	11704.1361137	90.6372884172	0.595529783037475	877639.516338696	0	oP12(39)-5,-3	A12 v=0 37 36  1 F1f -5 - X v=0 39 40  1 F2f -3
138BaF	A12	-3	-	35	X	-3	-	38	11613.4988252828	2168285.8638956	11704.1361137	90.6372884172	1.47130887573964	2168285.8638956	0	oP12(39)-3,-3	A12 v=0 37 36  1 F1f -3 - X v=0 39 40  1 F2f -3
138BaF	A12	-33	-	5	X	-35	-	6	11613.4988252828	3820313.18876844	11704.1361137	90.6372884172	2.59230611439842	3820313.18876844	0	oP12(39)-33,-35	A12 v=0 37 36  1 F1f -33 - X v=0 39 40  1 F2f -35
138BaF	A12	-1	-	37	X	-3	-	38	11613.4988252828	1204603.25771978	11704.1361137	90.6372884172	0.817393819855358	1204603.25771978	0	oP12(39)-1,-3	A12 v=0 37 36  1 F1f -1 - X v=0 39 40  1 F2f -3
138BaF	A12	-23	-	15	X	-21	-	20	11613.4988252828	206503.415609105	11704.1361137	90.6372884172	0.140124654832347	206503.415609105	0	oP12(39)-23,-21	A12 v=0 37 36  1 F1f -23 - X v=0 39 40  1 F2f -21
138BaF	A12	27	-	11	X	27	-	14	11613.4988252828	1135768.78585008	11704.1361137	90.6372884172	0.770685601577909	1135768.78585008	0	oP12(39)27,27	A12 v=0 37 36  1 F1f 27 - X v=0 39 40  1 F2f 27
138BaF	A12	23	-	15	X	25	-	16	11613.4988252828	2845158.17061434	11704.1361137	90.6372884172	1.93060635546789	2845158.17061434	0	oP12(39)23,25	A12 v=0 37 36  1 F1f 23 - X v=0 39 40  1 F2f 25
138BaF	A12	-3	-	35	X	-1	-	40	11613.4988252828	980891.224143249	11704.1361137	90.6372884172	0.665592110453649	980891.224143249	0	oP12(39)-3,-1	A12 v=0 37 36  1 F1f -3 - X v=0 39 40  1 F2f -1
138BaF	A12	7	-	31	X	9	-	32	11613.4988252828	1583192.85300314	11704.1361137	90.6372884172	1.07428902038133	1583192.85300314	0	oP12(39)7,9	A12 v=0 37 36  1 F1f  7 - X v=0 39 40  1 F2f  9
138BaF	A12	1	-	37	X	-1	-	40	11613.4988252828	1089879.13793694	11704.1361137	90.6372884172	0.739546789392943	1089879.13793694	0	oP12(39)1,-1	A12 v=0 37 36  1 F1f  1 - X v=0 39 40  1 F2f -1
138BaF	A12	9	-	29	X	9	-	32	11613.4988252828	2065034.15609105	11704.1361137	90.6372884172	1.40124654832347	2065034.15609105	0	oP12(39)9,9	A12 v=0 37 36  1 F1f  9 - X v=0 39 40  1 F2f  9
138BaF	A12	-25	-	13	X	-27	-	14	11613.4988252828	3028716.76226687	11704.1361137	90.6372884172	2.05516160420776	3028716.76226687	0	oP12(39)-25,-27	A12 v=0 37 36  1 F1f -25 - X v=0 39 40  1 F2f -27
138BaF	A12	11	-	27	X	9	-	32	11613.4988252828	602301.628859889	11704.1361137	90.6372884172	0.408696909927679	602301.628859889	0	oP12(39)11,9	A12 v=0 37 36  1 F1f 11 - X v=0 39 40  1 F2f  9
138BaF	A12	-31	-	7	X	-31	-	10	11613.4988252828	803068.838479853	11704.1361137	90.6372884172	0.544929213236905	803068.838479853	0	oP12(39)-31,-31	A12 v=0 37 36  1 F1f -31 - X v=0 39 40  1 F2f -31
138BaF	A12	-1	-	37	X	1	-	40	11613.4988252828	1089879.13793694	11704.1361137	90.6372884172	0.739546789392943	1089879.13793694	0	oP12(39)-1,1	A12 v=0 37 36  1 F1f -1 - X v=0 39 40  1 F2f  1
138BaF	A12	21	-	17	X	19	-	22	11613.4988252828	258129.269511381	11704.1361137	90.6372884172	0.175155818540434	258129.269511381	0	oP12(39)21,19	A12 v=0 37 36  1 F1f 21 - X v=0 39 40  1 F2f 19
138BaF	A12	9	-	29	X	11	-	30	11613.4988252828	1720861.79674254	11704.1361137	90.6372884172	1.16770545693623	1720861.79674254	0	oP12(39)9,11	A12 v=0 37 36  1 F1f  9 - X v=0 39 40  1 F2f 11
138BaF	A12	19	-	19	X	19	-	22	11613.4988252828	1663499.73685112	11704.1361137	90.6372884172	1.12878194170502	1663499.73685112	0	oP12(39)19,19	A12 v=0 37 36  1 F1f 19 - X v=0 39 40  1 F2f 19
138BaF	A12	-35	-	3	X	-33	-	8	11613.4988252828	17208.6179674254	11704.1361137	90.6372884172	0.0116770545693623	17208.6179674254	0	oP12(39)-35,-33	A12 v=0 37 36  1 F1f -35 - X v=0 39 40  1 F2f -33
138BaF	A12	1	-	37	X	3	-	38	11613.4988252828	1204603.25771978	11704.1361137	90.6372884172	0.817393819855358	1204603.25771978	0	oP12(39)1,3	A12 v=0 37 36  1 F1f  1 - X v=0 39 40  1 F2f  3
138BaF	A12	17	-	21	X	19	-	22	11613.4988252828	2328899.63159157	11704.1361137	90.6372884172	1.58029471838703	2328899.63159157	0	oP12(39)17,19	A12 v=0 37 36  1 F1f 17 - X v=0 39 40  1 F2f 19
138BaF	A12	-27	-	11	X	-27	-	14	11613.4988252828	1135768.78585008	11704.1361137	90.6372884172	0.770685601577909	1135768.78585008	0	oP12(39)-27,-27	A12 v=0 37 36  1 F1f -27 - X v=0 39 40  1 F2f -27
138BaF	A12	11	-	27	X	11	-	30	11613.4988252828	2007672.09619963	11704.1361137	90.6372884172	1.36232303309226	2007672.09619963	0	oP12(39)11,11	A12 v=0 37 36  1 F1f 11 - X v=0 39 40  1 F2f 11
138BaF	A12	-25	-	13	X	-23	-	18	11613.4988252828	160613.767695971	11704.1361137	90.6372884172	0.108985842647381	160613.767695971	0	oP12(39)-25,-23	A12 v=0 37 36  1 F1f -25 - X v=0 39 40  1 F2f -23
138BaF	A12	-29	-	9	X	-31	-	10	11613.4988252828	3413042.56353937	11704.1361137	90.6372884172	2.31594915625685	3413042.56353937	0	oP12(39)-29,-31	A12 v=0 37 36  1 F1f -29 - X v=0 39 40  1 F2f -31
138BaF	A12	-23	-	15	X	-25	-	16	11613.4988252828	2845158.17061434	11704.1361137	90.6372884172	1.93060635546789	2845158.17061434	0	oP12(39)-23,-25	A12 v=0 37 36  1 F1f -23 - X v=0 39 40  1 F2f -25
138BaF	A12	5	-	33	X	5	-	36	11613.4988252828	2145341.03993903	11704.1361137	90.6372884172	1.45573946964716	2145341.03993903	0	oP12(39)5,5	A12 v=0 37 36  1 F1f  5 - X v=0 39 40  1 F2f  5
138BaF	A12	13	-	25	X	11	-	30	11613.4988252828	521994.745011905	11704.1361137	90.6372884172	0.354203988603989	521994.745011905	0	oP12(39)13,11	A12 v=0 37 36  1 F1f 13 - X v=0 39 40  1 F2f 11
138BaF	A12	25	-	13	X	23	-	18	11613.4988252828	160613.767695971	11704.1361137	90.6372884172	0.108985842647381	160613.767695971	0	oP12(39)25,23	A12 v=0 37 36  1 F1f 25 - X v=0 39 40  1 F2f 23
138BaF	A12	17	-	21	X	17	-	24	11613.4988252828	1766751.44465568	11704.1361137	90.6372884172	1.19884426912119	1766751.44465568	0	oP12(39)17,17	A12 v=0 37 36  1 F1f 17 - X v=0 39 40  1 F2f 17
138BaF	A12	-25	-	13	X	-25	-	16	11613.4988252828	1284910.14156776	11704.1361137	90.6372884172	0.871886741179049	1284910.14156776	0	oP12(39)-25,-25	A12 v=0 37 36  1 F1f -25 - X v=0 39 40  1 F2f -25
138BaF	A12	5	-	33	X	7	-	34	11613.4988252828	1451260.11525288	11704.1361137	90.6372884172	0.98476493534955	1451260.11525288	0	oP12(39)5,7	A12 v=0 37 36  1 F1f  5 - X v=0 39 40  1 F2f  7
138BaF	A12	-31	-	7	X	-29	-	12	11613.4988252828	57362.059891418	11704.1361137	90.6372884172	0.0389235152312075	57362.059891418	0	oP12(39)-31,-29	A12 v=0 37 36  1 F1f -31 - X v=0 39 40  1 F2f -29
138BaF	A12	19	-	19	X	21	-	20	11613.4988252828	2495249.60527668	11704.1361137	90.6372884172	1.69317291255753	2495249.60527668	0	oP12(39)19,21	A12 v=0 37 36  1 F1f 19 - X v=0 39 40  1 F2f 21
138BaF	A12	9	-	29	X	7	-	34	11613.4988252828	688344.718697017	11704.1361137	90.6372884172	0.46708218277449	688344.718697017	0	oP12(39)9,7	A12 v=0 37 36  1 F1f  9 - X v=0 39 40  1 F2f  7
138BaF	A12	19	-	19	X	17	-	24	11613.4988252828	315491.329402799	11704.1361137	90.6372884172	0.214079333771641	315491.329402799	0	oP12(39)19,17	A12 v=0 37 36  1 F1f 19 - X v=0 39 40  1 F2f 17
138BaF	A12	-29	-	9	X	-27	-	14	11613.4988252828	86043.0898371271	11704.1361137	90.6372884172	0.0583852728468113	86043.0898371271	0	oP12(39)-29,-27	A12 v=0 37 36  1 F1f -29 - X v=0 39 40  1 F2f -27
138BaF	A12	15	-	23	X	17	-	24	11613.4988252828	2168285.8638956	11704.1361137	90.6372884172	1.47130887573964	2168285.8638956	0	oP12(39)15,17	A12 v=0 37 36  1 F1f 15 - X v=0 39 40  1 F2f 17
138BaF	A12	-33	-	5	X	-33	-	8	11613.4988252828	619510.246827315	11704.1361137	90.6372884172	0.420373964497041	619510.246827315	0	oP12(39)-33,-33	A12 v=0 37 36  1 F1f -33 - X v=0 39 40  1 F2f -33
138BaF	A12	17	-	21	X	15	-	26	11613.4988252828	378589.595283359	11704.1361137	90.6372884172	0.25689520052597	378589.595283359	0	oP12(39)17,15	A12 v=0 37 36  1 F1f 17 - X v=0 39 40  1 F2f 15
138BaF	A12	11	-	27	X	13	-	28	11613.4988252828	1864266.94647109	11704.1361137	90.6372884172	1.26501424501424	1864266.94647109	0	oP12(39)11,13	A12 v=0 37 36  1 F1f 11 - X v=0 39 40  1 F2f 13
138BaF	A12	-31	-	7	X	-33	-	8	11613.4988252828	3613809.77315934	11704.1361137	90.6372884172	2.45218145956607	3613809.77315934	0	oP12(39)-31,-33	A12 v=0 37 36  1 F1f -31 - X v=0 39 40  1 F2f -33
138BaF	A12	-29	-	9	X	-29	-	12	11613.4988252828	975155.018154107	11704.1361137	90.6372884172	0.661699758930528	975155.018154107	0	oP12(39)-29,-29	A12 v=0 37 36  1 F1f -29 - X v=0 39 40  1 F2f -29
138BaF	A12	15	-	23	X	15	-	26	11613.4988252828	1858530.74048194	11704.1361137	90.6372884172	1.26112189349112	1858530.74048194	0	oP12(39)15,15	A12 v=0 37 36  1 F1f 15 - X v=0 39 40  1 F2f 15
138BaF	A12	21	-	17	X	23	-	18	11613.4988252828	2667335.78495094	11704.1361137	90.6372884172	1.80994345825115	2667335.78495094	0	oP12(39)21,23	A12 v=0 37 36  1 F1f 21 - X v=0 39 40  1 F2f 23
138BaF	A12	13	-	25	X	15	-	26	11613.4988252828	2013408.30218877	11704.1361137	90.6372884172	1.36621538461538	2013408.30218877	0	oP12(39)13,15	A12 v=0 37 36  1 F1f 13 - X v=0 39 40  1 F2f 15
138BaF	A12	-27	-	11	X	-29	-	12	11613.4988252828	3218011.55990855	11704.1361137	90.6372884172	2.18360920447074	3218011.55990855	0	oP12(39)-27,-29	A12 v=0 37 36  1 F1f -27 - X v=0 39 40  1 F2f -29
138BaF	A12	15	-	23	X	13	-	28	11613.4988252828	447424.067153061	11704.1361137	90.6372884172	0.303603418803419	447424.067153061	0	oP12(39)15,13	A12 v=0 37 36  1 F1f 15 - X v=0 39 40  1 F2f 13
138BaF	A12	13	-	25	X	13	-	28	11613.4988252828	1938837.62432993	11704.1361137	90.6372884172	1.31561481481481	1938837.62432993	0	oP12(39)13,13	A12 v=0 37 36  1 F1f 13 - X v=0 39 40  1 F2f 13
138BaF	A12	23	-	15	X	23	-	18	11613.4988252828	1422579.08530717	11704.1361137	90.6372884172	0.965303177733947	1422579.08530717	0	oP12(39)23,23	A12 v=0 37 36  1 F1f 23 - X v=0 39 40  1 F2f 23
138BaF	A12	29	-	7	X	31	-	8	11614.4294870688	3576166.82245806	11696.4361068	82.0066197312	2.42605522279036	3576166.82245806	0	oP12(37)29,31	A12 v=0 35 34  1 F1f 29 - X v=0 37 38  1 F2f 31
138BaF	A12	29	-	7	X	27	-	12	11614.4294870688	63746.2891703753	11696.4361068	82.0066197312	0.043245191137083	63746.2891703753	0	oP12(37)29,27	A12 v=0 35 34  1 F1f 29 - X v=0 37 38  1 F2f 27
138BaF	A12	-33	-	3	X	-35	-	4	11614.4294870688	4016016.21773364	11696.4361068	82.0066197312	2.72444704163623	4016016.21773364	0	oP12(37)-33,-35	A12 v=0 35 34  1 F1f -33 - X v=0 37 38  1 F2f -35
