0  -0.0415 -0.0017674849 -0.00091792876   9.5693384 0.00058286282 -0.00059202772  9.5693384 0.079559267 0
0  -0.04147 0.00078064361 0.0011585591   9.5779516 -0.00082606402 -0.00012794881  9.5779517 0.08056243 1
0  -0.04144 0.00058565793 -0.00069681767   9.5865648 -4.0035449e-06 0.0023657459  9.5865651 0.081249392 2
0  -0.04141 -0.0018979538 -0.00015962828   9.5951781 -0.0023514194 -0.00028748178  9.5951784 0.080466759 3
0  -0.04138 -0.00070861821 0.00025253304   9.6037913 -1.5060586e-05 0.0012303382  9.6037914 0.081886687 4
0  -0.04135 -0.00014936531 0.0013829414   9.6124045 -0.00093004894 -0.0020111003  9.6124048 0.081633582 5
0  -0.04132 -0.00098144463 -0.00023048352   9.6210178 0.001920671 0.0013704741  9.6210181 0.082255049 6
0  -0.04129 -0.001288492 -0.0016021311   9.629631 1.0080576e-05 -0.0013710595  9.6296311 0.081301363 7
0  -0.04126 -0.0017476646 0.0013358645   9.6382442 -0.0017820552 -0.000160474  9.6382444 0.081337177 8
0  -0.04123 -0.0004203349 3.1520259e-06   9.6468575 4.652992e-05 -0.0012530412  9.6468576 0.08340504 9
0  -0.0412 -0.00061025114 -0.0020099309   9.6554707 0.0014341103 -0.00010317156  9.6554708 0.082034657 10
0  -0.04117 0.00058084492 0.00048616398   9.6640839 0.00074983686 0.00093061113  9.664084 0.083802545 11
0  -0.04114 -0.00080910739 0.00098779185   9.6726972 0.0013040454 -0.00055014869  9.6726973 0.083661602 12
0  -0.04111 0.00086616347 0.0012143106   9.6813104 3.808095e-05 0.0012347284  9.6813105 0.083704037 13
0  -0.04108 -0.00026842584 9.3167501e-05   9.6899236 0.0019066905 -3.0104722e-05  9.6899238 0.084842527 14
0  -0.04105 0.00098259265 0.0011204485   9.6985369 0.0009936166 -0.00061224643  9.6985369 0.084262494 15
0  -0.04102 -7.028774e-05 -0.00022189902   9.7071501 0.0001131897 0.00035114967  9.7071501 0.085421751 16
0  -0.04099 -0.00068013121 0.0013118239   9.7157633 -0.00016023652 -0.001954587  9.7157635 0.084839318 17
0  -0.04096 0.00083327135 -0.00046214418   9.7243766 0.00044787293 0.00031953461  9.7243766 0.085642547 18
0  -0.04093 0.00094631555 -0.0020233725   9.7329898 0.00074739822 0.00033959731  9.7329898 0.084275776 19
0  -0.0409 -0.00088013195 -0.00075632161   9.741603 -0.00096981114 -0.00014163422  9.7416031 0.086035525 20
0  -0.04087 0.00015521354 -0.00099801512   9.7502163 5.8971964e-05 0.00083732469  9.7502163 0.086459582 21
0  -0.04084 7.6907792e-06 -0.00071371623   9.7588295 0.0009742236 -0.00043643998  9.7588296 0.08696431 22
0  -0.04081 0.0012125557 -0.00064567596   9.7674427 -0.00041522768 0.00064441103  9.7674428 0.086677787 23
0  -0.04078 -0.0001258097 -0.00024328905   9.776056 -0.0011161136 0.00073891531  9.7760561 0.087736353 24
0  -0.04075 0.00068260836 -8.3135057e-05   9.7846692 -0.00033578091 -0.0010015866  9.7846692 0.087861548 25
0  -0.04072 0.0016233177 0.0016437836   9.7932824 0.00032750712 -0.00048920519  9.7932824 0.086113247 26
0  -0.04069 -0.00058437222 0.0012017057   9.8018957 -0.00035916406 -0.00098181672  9.8018957 0.08789199 27
0  -0.04066 -8.6689972e-05 0.00060456966   9.8105089 0.0018348262 0.00044739505  9.8105091 0.088798422 28
0  -0.04063 6.2904166e-05 -0.00027998358   9.8191221 0.0015017467 -0.00018682891  9.8191222 0.08922668 29
0  -0.0406 0.0014794392 -0.00011566519   9.8277354 0.0014220874 0.00018401446  9.8277355 0.088604127 30
0  -0.04057 0.00067805858 -0.0018103821   9.8363486 -0.0021796474 0.00049042257  9.8363488 0.088241689 31
0  -0.04054 0.00045780311 0.00021297192   9.8449618 -0.00016863983 0.00097736753  9.8449619 0.090061465 32
0  -0.04051 -0.00055921205 -0.00012713904   9.8535751 0.00027792894 -0.00020690792  9.8535751 0.090334558 33
0  -0.04048 -0.0010248792 -0.00049479306   9.8621883 0.00038274566 -0.0011874095  9.8621884 0.090209786 34
0  -0.04045 0.00041616622 0.0007124575   9.8708015 -0.00055706164 0.00056209046  9.8708015 0.09079186 35
0  -0.04042 -0.0010244511 -0.0012168184   9.8794147 -0.00091729521 0.00045926344  9.8794148 0.090272403 36
0  -0.04039 -0.00082119384 0.0010443784   9.888028 -0.00055028192 0.0015168712  9.8880281 0.090921376 37
